"code","count","phases","classification","owner","next_action","allowed","representative_line"
"Synth 8-5396","100","synth:100","xpm_cdc_keep_attribute","vivado_xpm_ip","monitor","True","WARNING: [Synth 8-5396] Clock pin C has keep related attribute (keep/mark_debug/dont_touch) which could create extra logic on its net [$VIVADO_ROOT/data/ip/xpm/xpm_cdc/hdl/xpm_cdc.sv:1242]"
"Synth 8-7071","100","synth:100","generated_ip_unconnected_port","generated_bd_ip","monitor_or_remove_retired_ip_owner","True","WARNING: [Synth 8-7071] port 'dout' of module 'system_axis_const_zero8_0' is unconnected for instance 'axis_const_zero8' [$PPRDIR/z20_v1_5_hw_project.gen/sources_1/bd/system/synth/system.v:9153]"
"Synth 8-7129","100","synth:100","generated_ip_unloaded_port","generated_bd_ip","monitor_or_remove_retired_ip_owner","True","WARNING: [Synth 8-7129] Port in_BUS_RID[0] in module system_v_frmbuf_rd_0_1_mm_video_m_axi_read is either unconnected or has no load"
"Synth 8-7023","60","synth:60","generated_ip_partial_instance_connections","generated_bd_ip","monitor_or_remove_retired_ip_owner","True","WARNING: [Synth 8-7023] instance 'axis_const_zero8' of module 'system_axis_const_zero8_0' has 1 connections declared, but only 0 given [$PPRDIR/z20_v1_5_hw_project.gen/sources_1/bd/system/synth/system.v:9153]"
"Common 17-1361","40","impl:20;synth:20","vivado_message_config_duplicate","generated_bd_ip_flow","cleanup_optional","True","WARNING: [Common 17-1361] You have specified a new message control rule that is equivalent to an existing rule with attributes ' -id {[BD 41-1306]}  -suppress '. The existing rule will be replaced."
"Synth 8-3332","38","synth:38","generated_ip_trimmed_unused_sequential","generated_bd_ip","monitor","True","WARNING: [Synth 8-3332] Sequential element (CTRL_s_axi_U/FSM_onehot_wstate_reg[0]) is unused and will be removed from module system_v_frmbuf_rd_0_1_v_frmbuf_rd."
"Vivado 12-180","5","synth:5","xpm_memory_xdc_no_cells","vivado_xpm_ip","monitor","True","WARNING: [Vivado 12-180] No cells matched 'get_cells -hier -filter {PRIMITIVE_SUBGROUP==LUTRAM || PRIMITIVE_SUBGROUP==dram || PRIMITIVE_SUBGROUP==uram || PRIMITIVE_SUBGROUP==BRAM}'. [$VIVADO_ROOT/data/ip/xpm/xpm_memory/tcl/xpm_memory_xdc.tcl:3]"
"Synth 8-3936","2","synth:2","hls_frozen_internal_register_trim","hls_frozen_ip","monitor","True","WARNING: [Synth 8-3936] Found unconnected internal register 'grp_FrmbufRdHlsDataFlow_fu_150/AXIMMvideo2Bytes7_U0/mac_muladd_16ns_11ns_32ns_32_4_1_U1/system_v_frmbuf_rd_0_1_mac_muladd_16ns_11ns_32ns_32_4_1_DSP48_0_U/p_reg_reg' and it is trimmed from '44' to '32' bits. [$PPRDIR/ip_repo/hls_frozen_src/system_v_frmbuf_rd_0_1/system_v_frmbuf_rd_0_1_mac_muladd_16ns_11ns_32ns_32_4_1.v:38]"
"Synth 8-589","2","synth:2","hls_frozen_case_equality_rewrite","hls_frozen_ip","monitor","True","WARNING: [Synth 8-589] replacing case/wildcard equality operator === with logical equality operator == [$PPRDIR/ip_repo/hls_frozen_src/system_v_frmbuf_rd_0_1/system_v_frmbuf_rd_0_1_mm_video_m_axi.v:592]"
"Timing 38-436","2","impl:2","bus_skew_report_reminder","vivado_timing_report","run_bus_skew_before_board_release","True","WARNING: [Timing 38-436] There are set_bus_skew constraint(s) in this design. Please run report_bus_skew to ensure that bus skew requirements are met."
